"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	-2.408491516E-1	-6.137237549E-2	9.836794281E0	9.839933771E0
9.976000001E-3	-2.371069336E-1	-8.532257080E-2	9.895472260E0	9.898680259E0
1.995300001E-2	-2.682421875E-1	-2.814147949E-2	9.830207977E0	9.833907397E0
2.993000002E-2	-2.525248718E-1	2.484832764E-2	9.685458984E0	9.688782276E0
3.990700003E-2	-2.386038208E-1	2.215393066E-2	9.686506805E0	9.689470402E0
4.988399998E-2	-2.451901245E-1	-1.960922241E-2	9.747879181E0	9.750982066E0
5.985999998E-2	-2.622546387E-1	-5.448669434E-2	9.841883698E0	9.845527970E0
6.983599998E-2	-2.297721863E-1	-6.346801758E-2	9.837093658E0	9.839981458E0
7.981299999E-2	-2.459385681E-1	-4.011657715E-2	9.831854553E0	9.835011900E0
8.979000000E-2	-2.436932373E-1	-1.541793823E-2	9.769883423E0	9.772934370E0
9.976600000E-2	-2.511776733E-1	7.634124756E-3	9.739496613E0	9.742737950E0
1.097420000E-1	-2.303709412E-1	-1.212478638E-2	9.726024628E0	9.728760087E0
1.197180000E-1	-2.296224976E-1	-3.382965088E-2	9.766889648E0	9.769647094E0
1.296950000E-1	-2.327659607E-1	-4.984634399E-2	9.806706848E0	9.809595499E0
1.396720000E-1	-2.392025757E-1	-4.011657715E-2	9.804461517E0	9.807461081E0
1.496470000E-1	-2.333647156E-1	-3.278182983E-2	9.781559143E0	9.784397427E0
1.596240000E-1	-2.251318359E-1	-1.676513672E-2	9.772128754E0	9.774736098E0
1.696000000E-1	-2.245330811E-1	-1.886077881E-2	9.757159882E0	9.759761257E0
1.795770000E-1	-2.240840149E-1	-2.993774414E-2	9.753567352E0	9.756187063E0
1.895540000E-1	-2.179467773E-1	-3.592529297E-2	9.757758636E0	9.760258451E0
1.995300000E-1	-2.186952209E-1	-3.158432007E-2	9.761351166E0	9.763851789E0
2.095070000E-1	-2.266287231E-1	-2.140548706E-2	9.755812683E0	9.758468111E0
2.194840000E-1	-2.222877502E-1	-2.514770508E-2	9.746831360E0	9.749398228E0
2.294600000E-1	-2.151026917E-1	-1.511856079E-2	9.771380310E0	9.773759302E0
2.394360000E-1	-2.116598511E-1	-2.724334717E-2	9.762099609E0	9.764431928E0
2.494120000E-1	-2.070195007E-1	-2.963836670E-2	9.753717041E0	9.755958775E0
2.593890000E-1	-2.092648315E-1	-2.739303589E-2	9.737850037E0	9.740136831E0
2.693660000E-1	-2.034269714E-1	-2.305206299E-2	9.733808441E0	9.735961211E0
2.793430000E-1	-2.086660767E-1	-3.188369751E-2	9.727521515E0	9.729811556E0
2.893190000E-1	-2.163002014E-1	-2.514770508E-2	9.767039337E0	9.769466495E0
2.992960000E-1	-2.118095398E-1	-3.143463135E-2	9.775721283E0	9.778066170E0
3.092740000E-1	-2.095642090E-1	-2.829116821E-2	9.770931244E0	9.773219271E0
3.192510000E-1	-2.094145203E-1	-3.338058472E-2	9.764195251E0	9.766497715E0
3.292280000E-1	-2.189945984E-1	-3.936813354E-2	9.750274200E0	9.752812695E0
3.392050000E-1	-2.179467773E-1	-3.517684937E-2	9.732461243E0	9.734964820E0
3.491830000E-1	-2.195933533E-1	-2.484832764E-2	9.751621399E0	9.754125209E0
3.591590000E-1	-2.151026917E-1	-1.556762695E-2	9.759105835E0	9.761488525E0
3.691360000E-1	-2.224374390E-1	-3.113525391E-2	9.794432373E0	9.797007366E0
3.791120000E-1	-2.130070496E-1	-3.203338623E-2	9.795929260E0	9.798297210E0
3.890880000E-1	-2.218386841E-1	-2.948867798E-2	9.771230621E0	9.773793012E0
3.990650000E-1	-2.233355713E-1	-2.350112915E-2	9.760752411E0	9.763335429E0
4.090420000E-1	-2.264790344E-1	-2.275268555E-2	9.746232605E0	9.748890215E0
4.190180000E-1	-2.270777893E-1	-2.844085693E-2	9.761650543E0	9.764332775E0
4.289950000E-1	-2.357597351E-1	-2.095642090E-2	9.781259766E0	9.784123079E0
4.389720000E-1	-2.330653381E-1	-2.739303589E-2	9.793534241E0	9.796345377E0
4.489490000E-1	-2.423460388E-1	-3.637435913E-2	9.790690155E0	9.793756603E0
4.589260000E-1	-2.360591125E-1	-2.933898926E-2	9.773176575E0	9.776071043E0
4.689030000E-1	-2.453398132E-1	-3.038681030E-2	9.758058014E0	9.761189025E0
4.788810000E-1	-2.405497742E-1	-3.113525391E-2	9.768386536E0	9.771397500E0
4.888570000E-1	-2.408491516E-1	-3.038681030E-2	9.780062256E0	9.783074639E0
4.988350000E-1	-2.427951050E-1	-3.607498169E-2	9.776619415E0	9.779700305E0
5.088120000E-1	-2.381547546E-1	-3.457809448E-2	9.801018677E0	9.803972686E0
5.187890000E-1	-2.414479065E-1	-2.664459229E-2	9.798324280E0	9.801334895E0
5.287660000E-1	-2.454895020E-1	-2.424957275E-2	9.796827393E0	9.799932658E0
5.387430000E-1	-2.433938599E-1	-2.874023438E-2	9.770781555E0	9.773854857E0
5.487190000E-1	-2.418969727E-1	-3.293151855E-2	9.777218170E0	9.780265527E0
5.586960000E-1	-2.374063110E-1	-2.005828857E-2	9.775122528E0	9.778025595E0
5.686720000E-1	-2.453398132E-1	-2.724334717E-2	9.780361633E0	9.783476248E0
5.786500000E-1	-2.378553772E-1	-3.787124634E-2	9.774673462E0	9.777640344E0
5.886270000E-1	-2.369572449E-1	-2.544708252E-2	9.780810699E0	9.783713724E0
5.986040000E-1	-2.341131592E-1	-3.038681030E-2	9.785151672E0	9.787999059E0
6.085810000E-1	-2.294728088E-1	-3.128494263E-2	9.774972839E0	9.777716018E0
6.185580000E-1	-2.308200073E-1	-2.694396973E-2	9.759704590E0	9.762470872E0
6.285350000E-1	-2.333647156E-1	-2.125579834E-2	9.754465485E0	9.757279733E0
6.385110000E-1	-2.201921082E-1	-2.709365845E-2	9.777966614E0	9.780483103E0
6.484890000E-1	-2.161505127E-1	-1.691482544E-2	9.773026886E0	9.775431534E0
6.584660000E-1	-2.255809021E-1	-2.784210205E-2	9.772128754E0	9.774771726E0
6.684430000E-1	-2.167492676E-1	-2.874023438E-2	9.759854279E0	9.762303098E0
6.784210000E-1	-2.145039368E-1	-2.634521484E-2	9.764943695E0	9.767334917E0
6.883980000E-1	-2.179467773E-1	-2.694396973E-2	9.753267975E0	9.755740001E0
6.983760000E-1	-2.107617188E-1	-2.604583740E-2	9.739496613E0	9.741811595E0
7.083530000E-1	-2.089654541E-1	-2.694396973E-2	9.753118286E0	9.755393833E0
7.183300000E-1	-2.160008240E-1	-2.859054565E-2	9.759405212E0	9.761837116E0
7.283070000E-1	-2.227368164E-1	-3.023712158E-2	9.769584045E0	9.772169585E0
